"Df","SumOfSqs","R2","F","pvalue","comparison","data","source","features","ratio"
1,4.07264402785494,0.269815020468624,14.0416073532326,0.001,"BAR_BAY","pres/abs","allSpecies",133,1
1,6.28421306969576,0.465398942149139,33.0810415392051,0.001,"BAR_BAY","pres/abs","indvalSpecies",29,1.725
1,3.38066954411068,0.228757591918668,11.2711495138539,0.001,"BAR_LAG","pres/abs","allSpecies",137,1
1,5.79175162601512,0.440215182129918,29.8832272454007,0.001,"BAR_LAG","pres/abs","indvalSpecies",29,1.924
1,1.2053201044142,0.0984629077466416,4.15023466757249,0.001,"BAY_LAG","pres/abs","allSpecies",57,1
1,4.79103195937873,0.523951264525506,31.9181326174404,0.001,"BAY_LAG","pres/abs","indvalSpecies",4,5.321
1,4.56710234650569,0.202981541523072,14.7712129915232,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",148,1
1,6.70590538666862,0.346533014737256,30.7573531762734,0.001,"INSHORE_OFFSHORE","pres/abs","indvalSpecies",45,1.707
1,3.88970103088146,0.253433728601238,12.8997010122134,0.001,"BAR_BAY","maxN","allSpecies",133,1
1,5.37633739602853,0.372519500314047,22.5596508879855,0.001,"BAR_BAY","maxN","indvalSpecies",29,1.47
1,3.21945514862231,0.220336336774884,10.7389650080795,0.001,"BAR_LAG","maxN","allSpecies",137,1
1,4.81695405332217,0.347012031898952,20.1940278478755,0.001,"BAR_LAG","maxN","indvalSpecies",29,1.575
1,1.33167918933656,0.10846559456482,4.62314473601415,0.001,"BAY_LAG","maxN","allSpecies",57,1
1,1.62490915409267,0.18278323661221,8.49929088883366,0.001,"BAY_LAG","maxN","indvalSpecies",7,1.685
1,4.29554438989033,0.190698673470055,13.6667551364182,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",148,1
1,5.94762255287965,0.301403194834417,25.0235689186307,0.001,"INSHORE_OFFSHORE","maxN","indvalSpecies",44,1.581
1,4.07264402785494,0.269815020468624,14.0416073532326,0.001,"BAR_BAY","pres/abs","allSpecies",133,1
1,0.5,0.25,2.33333333333333,0.44,"BAR_BAY","pres/abs","bininterSpecies",2,0.927
1,3.38066954411068,0.228757591918668,11.2711495138539,0.001,"BAR_LAG","pres/abs","allSpecies",137,1
1,0.75,0.214285714285714,2.72727272727273,0.1,"BAR_LAG","pres/abs","bininterSpecies",4,0.937
1,1.2053201044142,0.0984629077466416,4.15023466757249,0.001,"BAY_LAG","pres/abs","allSpecies",57,1
1,1.25231600626362,0.108475440728606,3.65022274262164,0.006,"BAY_LAG","pres/abs","bininterSpecies",17,1.102
1,4.56710234650569,0.202981541523072,14.7712129915232,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",148,1
1,0.807692307692308,0.35,5.92307692307692,0.065,"INSHORE_OFFSHORE","pres/abs","bininterSpecies",2,1.724
1,3.88970103088146,0.253433728601238,12.8997010122134,0.001,"BAR_BAY","maxN","allSpecies",133,1
1,0.451593600403124,0.215371444020547,1.92141886330136,0.369,"BAR_BAY","maxN","bininterSpecies",2,0.85
1,3.21945514862231,0.220336336774884,10.7389650080795,0.001,"BAR_LAG","maxN","allSpecies",137,1
1,1.24652943277035,0.0750098207151046,2.83823956602253,0.001,"BAR_LAG","maxN","bininterSpecies",50,0.34
1,1.33167918933656,0.10846559456482,4.62314473601415,0.001,"BAY_LAG","maxN","allSpecies",57,1
1,0.319047619047619,0.134808853118712,1.24651162790698,0.35,"BAY_LAG","maxN","bininterSpecies",4,1.243
1,4.29554438989033,0.190698673470055,13.6667551364182,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",148,1
1,2.45566341542948,0.120475144175559,6.30096647681544,0.001,"INSHORE_OFFSHORE","maxN","bininterSpecies",35,0.632
1,4.07264402785494,0.269815020468624,14.0416073532326,0.001,"BAR_BAY","pres/abs","allSpecies",133,1
1,3.23812818138008,0.267520312355535,10.5915415665099,0.001,"BAR_BAY","pres/abs","terinterSpecies",24,0.991
1,3.38066954411068,0.228757591918668,11.2711495138539,0.001,"BAR_LAG","pres/abs","allSpecies",137,1
1,1.52545779596561,0.128217923261466,3.82396712865427,0.001,"BAR_LAG","pres/abs","terinterSpecies",19,0.56
1,1.2053201044142,0.0984629077466416,4.15023466757249,0.001,"BAY_LAG","pres/abs","allSpecies",57,1
1,0.936674428135197,0.072243810676577,2.95903690786686,0.002,"BAY_LAG","pres/abs","terinterSpecies",34,0.734
1,4.56710234650569,0.202981541523072,14.7712129915232,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",148,1
1,1.37140522875817,0.272058346839546,5.60604711225899,0.009,"INSHORE_OFFSHORE","pres/abs","terinterSpecies",6,1.34
1,3.88970103088146,0.253433728601238,12.8997010122134,0.001,"BAR_BAY","maxN","allSpecies",133,1
1,2.78577476356276,0.224251426704265,8.38324632270315,0.001,"BAR_BAY","maxN","terinterSpecies",25,0.885
1,3.21945514862231,0.220336336774884,10.7389650080795,0.001,"BAR_LAG","maxN","allSpecies",137,1
1,2.84466467668721,0.189006624813921,8.85611641560088,0.001,"BAR_LAG","maxN","terinterSpecies",68,0.858
1,1.33167918933656,0.10846559456482,4.62314473601415,0.001,"BAY_LAG","maxN","allSpecies",57,1
1,1.48907590440991,0.108179304043618,4.60946193814112,0.001,"BAY_LAG","maxN","terinterSpecies",34,0.997
1,4.29554438989033,0.190698673470055,13.6667551364182,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",148,1
1,1.32338291133224,0.25866238664829,5.23369613229594,0.009,"INSHORE_OFFSHORE","maxN","terinterSpecies",7,1.356
