"Df","SumOfSqs","R2","F","pvalue","comparison","data","source","features","ratio"
1,4.85411182033365,0.344174704297899,19.9422603077832,0.001,"BAR_BAY","pres/abs","allSpecies",43,1
1,6.34499714647557,0.472331742268415,34.014943941028,0.001,"BAR_BAY","pres/abs","indvalSpecies",27,1.372
1,4.15378534912113,0.30524250485631,16.6953437215396,0.001,"BAR_LAG","pres/abs","allSpecies",45,1
1,5.66786905564978,0.426420760483136,28.2506544553601,0.001,"BAR_LAG","pres/abs","indvalSpecies",30,1.397
1,1.34246556149575,0.124400055128776,5.39881497547229,0.001,"BAY_LAG","pres/abs","allSpecies",19,1
1,4.79103195937873,0.523951264525506,31.9181326174404,0.001,"BAY_LAG","pres/abs","indvalSpecies",4,4.212
1,6.00250156104138,0.29360951701897,24.1075614654871,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",34,1
1,7.2140096534896,0.381182332951461,35.727123656039,0.001,"INSHORE_OFFSHORE","pres/abs","indvalSpecies",26,1.298
1,4.43437121450252,0.303212965386601,16.5360319758012,0.001,"BAR_BAY","maxN","allSpecies",43,1
1,5.37633739602853,0.372519500314047,22.5596508879855,0.001,"BAR_BAY","maxN","indvalSpecies",29,1.229
1,3.60542882738569,0.257623426742059,13.1869600534886,0.001,"BAR_LAG","maxN","allSpecies",45,1
1,4.77150582536042,0.342406336162223,19.7864448666195,0.001,"BAR_LAG","maxN","indvalSpecies",30,1.329
1,1.41512034851419,0.124374863032922,5.39756637368979,0.001,"BAY_LAG","maxN","allSpecies",19,1
1,1.62490915409267,0.18278323661221,8.49929088883366,0.001,"BAY_LAG","maxN","indvalSpecies",7,1.47
1,5.28743511930249,0.25272679693448,19.6155223579115,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",34,1
1,6.24441703257474,0.321108186719886,27.433347207074,0.001,"INSHORE_OFFSHORE","maxN","indvalSpecies",25,1.271
1,4.85411182033365,0.344174704297899,19.9422603077832,0.001,"BAR_BAY","pres/abs","allSpecies",43,1
1,3.46102564102564,0.41598865877712,16.3827968337731,0.001,"BAR_BAY","pres/abs","bininterSpecies",4,1.209
1,4.15378534912113,0.30524250485631,16.6953437215396,0.001,"BAR_LAG","pres/abs","allSpecies",45,1
1,1.63190057989008,0.133283689049956,4.30584176881131,0.002,"BAR_LAG","pres/abs","bininterSpecies",13,0.437
1,1.34246556149575,0.124400055128776,5.39881497547229,0.001,"BAY_LAG","pres/abs","allSpecies",19,1
1,1.17368196698757,0.116954860491513,4.7680178388593,0.001,"BAY_LAG","pres/abs","bininterSpecies",9,0.94
1,6.00250156104138,0.29360951701897,24.1075614654871,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",34,1
1,4.0466739060489,0.31587960870002,16.1605858341574,0.001,"INSHORE_OFFSHORE","pres/abs","bininterSpecies",6,1.076
1,4.43437121450252,0.303212965386601,16.5360319758012,0.001,"BAR_BAY","maxN","allSpecies",43,1
1,2.37000245365513,0.174646113053472,6.7712477109509,0.001,"BAR_BAY","maxN","bininterSpecies",12,0.576
1,3.60542882738569,0.257623426742059,13.1869600534886,0.001,"BAR_LAG","maxN","allSpecies",45,1
1,2.5870076786983,0.201513926429431,8.83294982652786,0.001,"BAR_LAG","maxN","bininterSpecies",16,0.782
1,1.41512034851419,0.124374863032922,5.39756637368979,0.001,"BAY_LAG","maxN","allSpecies",19,1
1,0.557420451274269,0.0505034318324718,1.54250112348302,0.148,"BAY_LAG","maxN","bininterSpecies",6,0.406
1,5.28743511930249,0.25272679693448,19.6155223579115,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",34,1
1,4.42267664154641,0.20714841359619,14.6311256234007,0.001,"INSHORE_OFFSHORE","maxN","bininterSpecies",15,0.82
1,4.85411182033365,0.344174704297899,19.9422603077832,0.001,"BAR_BAY","pres/abs","allSpecies",43,1
1,3.90014941784176,0.287881434263932,14.9576398935136,0.001,"BAR_BAY","pres/abs","terinterSpecies",18,0.836
1,4.15378534912113,0.30524250485631,16.6953437215396,0.001,"BAR_LAG","pres/abs","allSpecies",45,1
1,4.81043983660675,0.375257158844941,22.2243681121537,0.001,"BAR_LAG","pres/abs","terinterSpecies",23,1.229
1,1.34246556149575,0.124400055128776,5.39881497547229,0.001,"BAY_LAG","pres/abs","allSpecies",19,1
1,0.919364586031253,0.209596071426814,5.3035179570823,0.018,"BAY_LAG","pres/abs","terinterSpecies",3,1.685
1,6.00250156104138,0.29360951701897,24.1075614654871,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",34,1
1,6.76909985075844,0.348532176235421,31.0297231639784,0.001,"INSHORE_OFFSHORE","pres/abs","terinterSpecies",20,1.187
1,4.43437121450252,0.303212965386601,16.5360319758012,0.001,"BAR_BAY","maxN","allSpecies",43,1
1,3.02292729390181,0.220579782933296,9.62216844715259,0.001,"BAR_BAY","maxN","terinterSpecies",15,0.727
1,3.60542882738569,0.257623426742059,13.1869600534886,0.001,"BAR_LAG","maxN","allSpecies",45,1
1,4.43350332190579,0.319953476965273,17.8785299429573,0.001,"BAR_LAG","maxN","terinterSpecies",25,1.242
1,1.41512034851419,0.124374863032922,5.39756637368979,0.001,"BAY_LAG","maxN","allSpecies",19,1
1,0.686278134159861,0.0702056562929523,1.96317290589141,0.079,"BAY_LAG","maxN","terinterSpecies",5,0.564
1,5.28743511930249,0.25272679693448,19.6155223579115,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",34,1
1,5.50128402581165,0.267747303271769,21.2076290864466,0.001,"INSHORE_OFFSHORE","maxN","terinterSpecies",24,1.059
