"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data","seed","prev_rate"
"Abalistes stellatus",0.112,"BAR",0,15.625,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Acanthurus blochii",0.125,"BAR",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Acanthurus mata",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Acanthurus nigricauda",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Acanthurus olivaceus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Acanthurus xanthopterus",0.188,"BAR",0,9.375,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Amblyeleotris steinitzi",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Amblygobius phalaena",0.25,"BAR",0,12.5,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Aprion virescens",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Atule mate",0.562,"BAY",1,28.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Balistoides viridescens",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Bodianus loxozonus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Bodianus perditio",0.125,"BAR",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Canthigaster bennetti",0.062,"BAY",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Canthigaster valentini",0.125,"BAR",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Carangoides dinema",0.062,"BAY",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Carangoides fulvoguttatus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Caranx ignobilis",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Centropyge tibicen",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Chaetodon auriga",0.25,"BAR",0,12.5,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Chaetodon ephippium",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Chaetodon kleinii",0.188,"BAR",0,9.375,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Chaetodon melannotus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Chaetodon mertensii",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Cheilinus chlorourus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
