"","metric","value","parsimony","comparison","source","algorithm","dataset"
"1","generalization.auc",0.765625,"k_1","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"2","generalization.auc",1,"k_2","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"3","generalization.auc",0.78125,"k_3","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"4","generalization.auc",0.78125,"k_4","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"5","generalization.auc",0.78125,"k_5","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"6","generalization.auc",0.5,"k_1","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"7","generalization.auc",0.84375,"k_2","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"8","generalization.auc",0.65625,"k_3","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"9","generalization.auc",0.5,"k_4","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"10","generalization.auc",0.5,"k_5","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"11","generalization.auc",0.5,"k_1","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"12","generalization.auc",0.6875,"k_2","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"13","generalization.auc",0.5,"k_3","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"14","generalization.auc",0.78125,"k_4","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"15","generalization.auc",0.78125,"k_5","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"16","generalization.auc",0.75,"k_1","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"17","generalization.auc",1,"k_2","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"18","generalization.auc",0.5,"k_3","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"19","generalization.auc",0.75,"k_4","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"20","generalization.auc",0.875,"k_5","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"21","generalization.auc",0.75,"k_1","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"22","generalization.auc",1,"k_2","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"23","generalization.auc",0.5625,"k_3","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
"24","generalization.auc",0.859375,"k_4","INSHORE_OFFSHORE","maxN","bininter","all_species_community"
