"","metric","value","parsimony","comparison","source","algorithm","dataset"
"1","generalization.auc",0.765625,"k_1","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"2","generalization.auc",1,"k_2","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"3","generalization.auc",1,"k_3","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"4","generalization.auc",0.84375,"k_4","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"5","generalization.auc",0.84375,"k_5","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"6","generalization.auc",0.5,"k_1","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"7","generalization.auc",0.84375,"k_2","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"8","generalization.auc",1,"k_3","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"9","generalization.auc",0.84375,"k_4","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"10","generalization.auc",0.84375,"k_5","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"11","generalization.auc",0.5,"k_1","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"12","generalization.auc",0.6875,"k_2","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"13","generalization.auc",0.828125,"k_3","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"14","generalization.auc",0.828125,"k_4","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"15","generalization.auc",0.828125,"k_5","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"16","generalization.auc",0.75,"k_1","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"17","generalization.auc",1,"k_2","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"18","generalization.auc",1,"k_3","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"19","generalization.auc",1,"k_4","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"20","generalization.auc",1,"k_5","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"21","generalization.auc",0.75,"k_1","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"22","generalization.auc",1,"k_2","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"23","generalization.auc",1,"k_3","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"24","generalization.auc",1,"k_4","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"25","generalization.auc",1,"k_5","INSHORE_OFFSHORE","maxN","bininter","species_prev_10"
"26","generalization.auc",1,"k_2","INSHORE_OFFSHORE","maxN","terinter","species_prev_10"
"27","generalization.auc",0.90625,"k_3","INSHORE_OFFSHORE","maxN","terinter","species_prev_10"
"28","generalization.auc",0.921875,"k_4","INSHORE_OFFSHORE","maxN","terinter","species_prev_10"
"29","generalization.auc",1,"k_5","INSHORE_OFFSHORE","maxN","terinter","species_prev_10"
"30","generalization.auc",0.9375,"k_2","INSHORE_OFFSHORE","maxN","terinter","species_prev_10"
"31","generalization.auc",0.984375,"k_3","INSHORE_OFFSHORE","maxN","terinter","species_prev_10"
"32","generalization.auc",1,"k_4","INSHORE_OFFSHORE","maxN","terinter","species_prev_10"
"33","generalization.auc",0.90625,"k_5","INSHORE_OFFSHORE","maxN","terinter","species_prev_10"
