"featureImportance","feature","comparison","source","data"
0.075,"Abalistes stellatus","BAR_BAY","indval","pres/abs"
0.15,"Acanthurus blochii","BAR_BAY","indval","pres/abs"
0.05,"Acanthurus mata","BAR_BAY","indval","pres/abs"
0.05,"Acanthurus nigricauda","BAR_BAY","indval","pres/abs"
0.1,"Acanthurus olivaceus","BAR_BAY","indval","pres/abs"
0.15,"Acanthurus xanthopterus","BAR_BAY","indval","pres/abs"
0.05,"Amblyeleotris steinitzi","BAR_BAY","indval","pres/abs"
0.3,"Amblygobius phalaena","BAR_BAY","indval","pres/abs"
0.05,"Aprion virescens","BAR_BAY","indval","pres/abs"
0.6,"Atule mate","BAR_BAY","indval","pres/abs"
0.05,"Balistoides viridescens","BAR_BAY","indval","pres/abs"
0.05,"Bodianus loxozonus","BAR_BAY","indval","pres/abs"
0.1,"Bodianus perditio","BAR_BAY","indval","pres/abs"
0.05,"Caesio caerulaurea","BAR_BAY","indval","pres/abs"
0.05,"Canthigaster bennetti","BAR_BAY","indval","pres/abs"
0.15,"Canthigaster valentini","BAR_BAY","indval","pres/abs"
0.05,"Carangoides dinema","BAR_BAY","indval","pres/abs"
0.05,"Carangoides fulvoguttatus","BAR_BAY","indval","pres/abs"
0.05,"Caranx ignobilis","BAR_BAY","indval","pres/abs"
0.05,"Caranx papuensis","BAR_BAY","indval","pres/abs"
0.2,"Centropyge tibicen","BAR_BAY","indval","pres/abs"
0.3,"Chaetodon auriga","BAR_BAY","indval","pres/abs"
0.05,"Chaetodon ephippium","BAR_BAY","indval","pres/abs"
0.25,"Chaetodon kleinii","BAR_BAY","indval","pres/abs"
0.05,"Chaetodon melannotus","BAR_BAY","indval","pres/abs"
0.15,"Chaetodon mertensii","BAR_BAY","indval","pres/abs"
0.05,"Chaetodon plebeius","BAR_BAY","indval","pres/abs"
0.05,"Cheilinus chlorourus","BAR_BAY","indval","pres/abs"
0.05,"Cheilio inermis","BAR_BAY","indval","pres/abs"
0.05,"Cheilodipterus quinquelineatus","BAR_BAY","indval","pres/abs"
0.05,"Chlorurus sordidus","BAR_BAY","indval","pres/abs"
0.05,"Choerodon graphicus","BAR_BAY","indval","pres/abs"
0.1,"Chromis fumea","BAR_BAY","indval","pres/abs"
0.25,"Chromis viridis","BAR_BAY","indval","pres/abs"
0.1,"Chrysiptera biocellata","BAR_BAY","indval","pres/abs"
0.05,"Coris batuensis","BAR_BAY","indval","pres/abs"
0.25,"Coris dorsomacula","BAR_BAY","indval","pres/abs"
0.1,"Ctenochaetus striatus","BAR_BAY","indval","pres/abs"
0.35,"Dascyllus aruanus","BAR_BAY","indval","pres/abs"
0.05,"Dasyatis kuhlii","BAR_BAY","indval","pres/abs"
0.15,"Decapterus macarellus","BAR_BAY","indval","pres/abs"
0.05,"Diagramma pictum","BAR_BAY","indval","pres/abs"
0.15625,"Echeneis naucrates","BAR_BAY","indval","pres/abs"
0.05,"Elops hawaiensis","BAR_BAY","indval","pres/abs"
0.1,"Epinephelus areolatus","BAR_BAY","indval","pres/abs"
0.05,"Epinephelus howlandi","BAR_BAY","indval","pres/abs"
0.15,"Epinephelus maculatus","BAR_BAY","indval","pres/abs"
0.05,"Epinephelus merra","BAR_BAY","indval","pres/abs"
0.1,"Gnathanodon speciosus","BAR_BAY","indval","pres/abs"
0.2,"Gymnocranius grandoculis","BAR_BAY","indval","pres/abs"
0.05,"Halichoeres chrysus","BAR_BAY","indval","pres/abs"
0.802777777777778,"Halichoeres trimaculatus","BAR_BAY","indval","pres/abs"
0.05,"Hemigymnus melapterus","BAR_BAY","indval","pres/abs"
0.05,"Heniochus acuminatus","BAR_BAY","indval","pres/abs"
0.15,"Labroides dimidiatus","BAR_BAY","indval","pres/abs"
0.245,"Lagocephalus sceleratus","BAR_BAY","indval","pres/abs"
0.2,"Leiognathus fasciatus","BAR_BAY","indval","pres/abs"
0.1,"Lethrinus atkinsoni","BAR_BAY","indval","pres/abs"
0.4225,"Lethrinus genivittatus","BAR_BAY","indval","pres/abs"
0.65,"Lethrinus obsoletus","BAR_BAY","indval","pres/abs"
0.8,"Lethrinus rubrioperculatus","BAR_BAY","indval","pres/abs"
0.75,"Lethrinus variegatus","BAR_BAY","indval","pres/abs"
0.05,"Lutjanus gibbus","BAR_BAY","indval","pres/abs"
0.05,"Lutjanus lutjanus","BAR_BAY","indval","pres/abs"
0.09,"Lutjanus vitta","BAR_BAY","indval","pres/abs"
0.05,"Macropharyngodon negrosensis","BAR_BAY","indval","pres/abs"
0.4,"Mulloidichthys flavolineatus","BAR_BAY","indval","pres/abs"
0.1,"Naso annulatus","BAR_BAY","indval","pres/abs"
0.05,"Naso brevirostris","BAR_BAY","indval","pres/abs"
0.05,"Nebrius ferrugineus","BAR_BAY","indval","pres/abs"
0.85,"Nemipterus peronii","BAR_BAY","indval","pres/abs"
0.75,"Oxycheilinus bimaculatus","BAR_BAY","indval","pres/abs"
0.25,"Oxycheilinus nigromarginatus","BAR_BAY","indval","pres/abs"
0.05,"Oxycheilinus unifasciatus","BAR_BAY","indval","pres/abs"
0.7,"Parapercis australis","BAR_BAY","indval","pres/abs"
0.1,"Parapercis clathrata","BAR_BAY","indval","pres/abs"
0.1,"Parapercis hexophtalma","BAR_BAY","indval","pres/abs"
0.05,"Parapercis xanthozona","BAR_BAY","indval","pres/abs"
0.7,"Parupeneus barberinoides","BAR_BAY","indval","pres/abs"
0.1,"Parupeneus barberinus","BAR_BAY","indval","pres/abs"
0.1,"Parupeneus cyclostomus","BAR_BAY","indval","pres/abs"
0.09,"Parupeneus heptacanthus","BAR_BAY","indval","pres/abs"
0.5,"Parupeneus multifasciatus","BAR_BAY","indval","pres/abs"
0.85,"Parupeneus pleurostigma","BAR_BAY","indval","pres/abs"
0.05,"Parupeneus spilurus","BAR_BAY","indval","pres/abs"
0.025,"Pentapodus caninus","BAR_BAY","indval","pres/abs"
0.75,"Pentapodus nagasakiensis","BAR_BAY","indval","pres/abs"
0.05,"Plagiotremus rhinorhynchos","BAR_BAY","indval","pres/abs"
0.2,"Plagiotremus tapeinosoma","BAR_BAY","indval","pres/abs"
0.15,"Plectropomus leopardus","BAR_BAY","indval","pres/abs"
0.05,"Pomacanthus imperator","BAR_BAY","indval","pres/abs"
0.35,"Pomacentrus coelestis","BAR_BAY","indval","pres/abs"
0.2,"Pomacentrus moluccensis","BAR_BAY","indval","pres/abs"
0.05,"Pomacentrus nagasakiensis","BAR_BAY","indval","pres/abs"
0.15,"Pristotis obtusirostris","BAR_BAY","indval","pres/abs"
0.05,"Pseudalutarius nasicornis","BAR_BAY","indval","pres/abs"
0.05,"Pseudanthias hypselosoma","BAR_BAY","indval","pres/abs"
0.05,"Pseudobalistes flavimarginatus","BAR_BAY","indval","pres/abs"
0.3,"Pseudobalistes fuscus","BAR_BAY","indval","pres/abs"
0.05,"Pseudocaranx dentex","BAR_BAY","indval","pres/abs"
0.05,"Pseudojuloides cerasinus","BAR_BAY","indval","pres/abs"
0.25,"Ptereleotris microlepis","BAR_BAY","indval","pres/abs"
0.05,"Pterocaesio marri","BAR_BAY","indval","pres/abs"
0.1,"Pterocaesio trilineata","BAR_BAY","indval","pres/abs"
0.05,"Rhinecanthus aculeatus","BAR_BAY","indval","pres/abs"
0.05,"Rhynchobatus Djiddensis","BAR_BAY","indval","pres/abs"
0.05,"Scarus chameleon","BAR_BAY","indval","pres/abs"
0.25,"Scarus ghobban","BAR_BAY","indval","pres/abs"
