"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data"
"Abalistes stellatus",0.075,"BAR",0,15,"BAR_BAY","indval","pres/abs"
"Amblygobius phalaena",0.3,"BAR",1,15,"BAR_BAY","indval","pres/abs"
"Atule mate",0.6,"BAY",1,30,"BAR_BAY","indval","pres/abs"
"Centropyge tibicen",0.2,"BAR",0,10,"BAR_BAY","indval","pres/abs"
"Chaetodon auriga",0.3,"BAR",1,15,"BAR_BAY","indval","pres/abs"
"Chaetodon kleinii",0.25,"BAR",0,12.5,"BAR_BAY","indval","pres/abs"
"Chromis viridis",0.25,"BAR",1,12.5,"BAR_BAY","indval","pres/abs"
"Coris dorsomacula",0.25,"BAR",0,12.5,"BAR_BAY","indval","pres/abs"
"Dascyllus aruanus",0.35,"BAR",1,17.5,"BAR_BAY","indval","pres/abs"
"Diagramma pictum",0.05,"BAR",0,10,"BAR_BAY","indval","pres/abs"
"Echeneis naucrates",0.156,"BAY",0,20,"BAR_BAY","indval","pres/abs"
"Gymnocranius grandoculis",0.2,"BAR",0,10,"BAR_BAY","indval","pres/abs"
"Halichoeres trimaculatus",0.803,"BAR",1,45,"BAR_BAY","indval","pres/abs"
"Lagocephalus sceleratus",0.245,"BAY",0,25,"BAR_BAY","indval","pres/abs"
"Leiognathus fasciatus",0.2,"BAY",0,10,"BAR_BAY","indval","pres/abs"
"Lethrinus genivittatus",0.423,"BAY",0,50,"BAR_BAY","indval","pres/abs"
"Lethrinus obsoletus",0.65,"BAY",1,32.5,"BAR_BAY","indval","pres/abs"
"Lethrinus rubrioperculatus",0.8,"BAR",1,40,"BAR_BAY","indval","pres/abs"
"Lethrinus variegatus",0.75,"BAR",1,37.5,"BAR_BAY","indval","pres/abs"
"Lutjanus vitta",0.09,"BAY",0,12.5,"BAR_BAY","indval","pres/abs"
"Mulloidichthys flavolineatus",0.4,"BAR",1,20,"BAR_BAY","indval","pres/abs"
"Nemipterus peronii",0.85,"BAY",1,42.5,"BAR_BAY","indval","pres/abs"
"Oxycheilinus bimaculatus",0.75,"BAR",1,37.5,"BAR_BAY","indval","pres/abs"
"Oxycheilinus nigromarginatus",0.25,"BAR",1,12.5,"BAR_BAY","indval","pres/abs"
"Parapercis australis",0.7,"BAR",1,35,"BAR_BAY","indval","pres/abs"
"Parupeneus barberinoides",0.7,"BAR",1,35,"BAR_BAY","indval","pres/abs"
"Parupeneus heptacanthus",0.09,"BAR",0,12.5,"BAR_BAY","indval","pres/abs"
"Parupeneus multifasciatus",0.5,"BAR",1,25,"BAR_BAY","indval","pres/abs"
"Parupeneus pleurostigma",0.85,"BAR",1,42.5,"BAR_BAY","indval","pres/abs"
"Pentapodus nagasakiensis",0.75,"BAR",1,37.5,"BAR_BAY","indval","pres/abs"
"Plagiotremus tapeinosoma",0.2,"BAR",0,10,"BAR_BAY","indval","pres/abs"
"Pomacentrus coelestis",0.35,"BAR",1,17.5,"BAR_BAY","indval","pres/abs"
"Pomacentrus moluccensis",0.2,"BAR",0,10,"BAR_BAY","indval","pres/abs"
"Pseudobalistes fuscus",0.3,"BAR",1,15,"BAR_BAY","indval","pres/abs"
"Ptereleotris microlepis",0.25,"BAR",1,12.5,"BAR_BAY","indval","pres/abs"
"Scarus ghobban",0.25,"BAR",0,12.5,"BAR_BAY","indval","pres/abs"
"Scarus psittacus",0.3,"BAR",1,15,"BAR_BAY","indval","pres/abs"
"Scomberomorus commerson",0.09,"BAR",0,12.5,"BAR_BAY","indval","pres/abs"
"Stethojulis interrupta",0.4,"BAR",1,20,"BAR_BAY","indval","pres/abs"
"Sufflamen chrysopterum",0.35,"BAR",1,17.5,"BAR_BAY","indval","pres/abs"
"Synodus variegatus",0.3,"BAY",1,15,"BAR_BAY","indval","pres/abs"
"Thalassoma lunare",0.703,"BAR",1,40,"BAR_BAY","indval","pres/abs"
"Upeneus sundaicus",0.179,"BAR",0,17.5,"BAR_BAY","indval","pres/abs"
"Abalistes stellatus",0.114,"LAG",0,17.5,"BAR_LAG","indval","pres/abs"
"Amblygobius phalaena",0.3,"BAR",1,15,"BAR_LAG","indval","pres/abs"
"Arothron stellatus",0.2,"LAG",0,10,"BAR_LAG","indval","pres/abs"
"Atule mate",0.25,"LAG",1,12.5,"BAR_LAG","indval","pres/abs"
"Centropyge tibicen",0.2,"BAR",0,10,"BAR_LAG","indval","pres/abs"
"Chaetodon auriga",0.3,"BAR",1,15,"BAR_LAG","indval","pres/abs"
"Chaetodon kleinii",0.25,"BAR",1,12.5,"BAR_LAG","indval","pres/abs"
"Chromis viridis",0.25,"BAR",1,12.5,"BAR_LAG","indval","pres/abs"
"Coris dorsomacula",0.208,"BAR",0,15,"BAR_LAG","indval","pres/abs"
"Dascyllus aruanus",0.35,"BAR",1,17.5,"BAR_LAG","indval","pres/abs"
"Decapterus macarellus",0.25,"LAG",1,12.5,"BAR_LAG","indval","pres/abs"
"Echeneis naucrates",0.075,"BAR",0,15,"BAR_LAG","indval","pres/abs"
"Gymnocranius grandoculis",0.2,"BAR",0,10,"BAR_LAG","indval","pres/abs"
"Halichoeres trimaculatus",0.85,"BAR",1,42.5,"BAR_LAG","indval","pres/abs"
"Lagocephalus sceleratus",0.2,"LAG",0,22.5,"BAR_LAG","indval","pres/abs"
"Lethrinus genivittatus",0.602,"LAG",1,60,"BAR_LAG","indval","pres/abs"
"Lethrinus obsoletus",0.2,"LAG",0,10,"BAR_LAG","indval","pres/abs"
"Lethrinus rubrioperculatus",0.753,"BAR",1,42.5,"BAR_LAG","indval","pres/abs"
"Lethrinus variegatus",0.75,"BAR",1,37.5,"BAR_LAG","indval","pres/abs"
"Mulloidichthys flavolineatus",0.4,"BAR",1,20,"BAR_LAG","indval","pres/abs"
"Nemipterus peronii",0.9,"LAG",1,45,"BAR_LAG","indval","pres/abs"
"Oxycheilinus bimaculatus",0.703,"BAR",1,40,"BAR_LAG","indval","pres/abs"
"Oxycheilinus nigromarginatus",0.25,"BAR",1,12.5,"BAR_LAG","indval","pres/abs"
"Parapercis australis",0.7,"BAR",1,35,"BAR_LAG","indval","pres/abs"
"Parupeneus barberinoides",0.7,"BAR",1,35,"BAR_LAG","indval","pres/abs"
"Parupeneus heptacanthus",0.114,"LAG",0,17.5,"BAR_LAG","indval","pres/abs"
"Parupeneus multifasciatus",0.5,"BAR",1,25,"BAR_LAG","indval","pres/abs"
"Parupeneus pleurostigma",0.85,"BAR",1,42.5,"BAR_LAG","indval","pres/abs"
"Pentapodus nagasakiensis",0.417,"BAR",0,67.5,"BAR_LAG","indval","pres/abs"
"Plagiotremus tapeinosoma",0.2,"BAR",0,10,"BAR_LAG","indval","pres/abs"
"Pomacentrus coelestis",0.35,"BAR",1,17.5,"BAR_LAG","indval","pres/abs"
"Pomacentrus moluccensis",0.2,"BAR",0,10,"BAR_LAG","indval","pres/abs"
"Pristotis obtusirostris",0.09,"BAR",0,12.5,"BAR_LAG","indval","pres/abs"
"Pseudalutarius nasicornis",0.405,"LAG",1,25,"BAR_LAG","indval","pres/abs"
"Pseudobalistes fuscus",0.3,"BAR",1,15,"BAR_LAG","indval","pres/abs"
"Ptereleotris microlepis",0.25,"BAR",1,12.5,"BAR_LAG","indval","pres/abs"
"Scarus ghobban",0.25,"BAR",1,12.5,"BAR_LAG","indval","pres/abs"
"Scarus psittacus",0.3,"BAR",1,15,"BAR_LAG","indval","pres/abs"
"Scomberomorus commerson",0.2,"LAG",0,22.5,"BAR_LAG","indval","pres/abs"
"Stethojulis interrupta",0.4,"BAR",1,20,"BAR_LAG","indval","pres/abs"
"Sufflamen chrysopterum",0.35,"BAR",1,17.5,"BAR_LAG","indval","pres/abs"
"Synodus variegatus",0.4,"LAG",1,20,"BAR_LAG","indval","pres/abs"
"Thalassoma lunare",0.75,"BAR",1,37.5,"BAR_LAG","indval","pres/abs"
"Upeneus moluccensis",0.3,"LAG",1,15,"BAR_LAG","indval","pres/abs"
"Upeneus sundaicus",0.125,"BAR",0,25,"BAR_LAG","indval","pres/abs"
"Abalistes stellatus",0.114,"LAG",0,17.5,"BAY_LAG","indval","pres/abs"
"Arothron stellatus",0.2,"LAG",0,10,"BAY_LAG","indval","pres/abs"
"Atule mate",0.424,"BAY",0,42.5,"BAY_LAG","indval","pres/abs"
"Decapterus macarellus",0.156,"LAG",0,20,"BAY_LAG","indval","pres/abs"
"Echeneis naucrates",0.156,"BAY",0,20,"BAY_LAG","indval","pres/abs"
"Lagocephalus sceleratus",0.188,"BAY",0,32.5,"BAY_LAG","indval","pres/abs"
"Leiognathus fasciatus",0.2,"BAY",0,10,"BAY_LAG","indval","pres/abs"
"Lethrinus genivittatus",0.482,"LAG",0,75,"BAY_LAG","indval","pres/abs"
"Lethrinus obsoletus",0.497,"BAY",1,42.5,"BAY_LAG","indval","pres/abs"
"Nemipterus peronii",0.463,"LAG",0,87.5,"BAY_LAG","indval","pres/abs"
