"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data"
"Abalistes stellatus",0.075,"BAR",0,15,"BAR_BAY","indval","bin"
"Acanthurus blochii",0.15,"BAR",0,7.5,"BAR_BAY","indval","bin"
"Acanthurus mata",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Acanthurus nigricauda",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Acanthurus olivaceus",0.1,"BAR",0,5,"BAR_BAY","indval","bin"
"Acanthurus xanthopterus",0.15,"BAR",0,7.5,"BAR_BAY","indval","bin"
"Amblyeleotris steinitzi",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Amblygobius phalaena",0.3,"BAR",1,15,"BAR_BAY","indval","bin"
"Aprion virescens",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Atule mate",0.6,"BAY",1,30,"BAR_BAY","indval","bin"
"Balistoides viridescens",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Bodianus loxozonus",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Bodianus perditio",0.1,"BAR",0,5,"BAR_BAY","indval","bin"
"Caesio caerulaurea",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Canthigaster bennetti",0.05,"BAY",0,2.5,"BAR_BAY","indval","bin"
"Canthigaster valentini",0.15,"BAR",0,7.5,"BAR_BAY","indval","bin"
"Carangoides dinema",0.05,"BAY",0,2.5,"BAR_BAY","indval","bin"
"Carangoides fulvoguttatus",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Caranx ignobilis",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Caranx papuensis",0.05,"BAY",0,2.5,"BAR_BAY","indval","bin"
"Centropyge tibicen",0.2,"BAR",0,10,"BAR_BAY","indval","bin"
"Chaetodon auriga",0.3,"BAR",1,15,"BAR_BAY","indval","bin"
"Chaetodon ephippium",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Chaetodon kleinii",0.25,"BAR",1,12.5,"BAR_BAY","indval","bin"
"Chaetodon melannotus",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Chaetodon mertensii",0.15,"BAR",0,7.5,"BAR_BAY","indval","bin"
"Chaetodon plebeius",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Cheilinus chlorourus",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Cheilio inermis",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Cheilodipterus quinquelineatus",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Chlorurus sordidus",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Choerodon graphicus",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Chromis fumea",0.1,"BAR",0,5,"BAR_BAY","indval","bin"
"Chromis viridis",0.25,"BAR",1,12.5,"BAR_BAY","indval","bin"
"Chrysiptera biocellata",0.1,"BAR",0,5,"BAR_BAY","indval","bin"
"Coris batuensis",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Coris dorsomacula",0.25,"BAR",1,12.5,"BAR_BAY","indval","bin"
"Ctenochaetus striatus",0.1,"BAR",0,5,"BAR_BAY","indval","bin"
"Dascyllus aruanus",0.35,"BAR",1,17.5,"BAR_BAY","indval","bin"
"Dasyatis kuhlii",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Decapterus macarellus",0.15,"BAY",0,7.5,"BAR_BAY","indval","bin"
