"Df","SumOfSqs","R2","F","pvalue","comparison","data","source","features","seed","prev_rate","ratio","colour"
1,3.07511669550948,0.2527035210708,10.1447094237443,0.001,"BAR_BAY","pres/abs","allSpecies",119,"seed_01","prev_0",1,"blue"
1,5.17990998894224,0.491168463989425,28.9586098283352,0.001,"BAR_BAY","pres/abs","indvalSpecies",17,"seed_01","prev_0",1.944,"blue"
1,2.52090317310022,0.212640702350996,8.10204577449935,0.001,"BAR_LAG","pres/abs","allSpecies",122,"seed_01","prev_0",1,"blue"
1,4.59715747259712,0.441529087814928,23.7181066111788,0.001,"BAR_LAG","pres/abs","indvalSpecies",19,"seed_01","prev_0",2.076,"blue"
1,1.00109202442018,0.0987966207350505,3.28882324483622,0.001,"BAY_LAG","pres/abs","allSpecies",52,"seed_01","prev_0",1,"blue"
1,4.29218253968254,0.577985230151011,31.5004621715733,0.001,"BAY_LAG","pres/abs","indvalSpecies",4,"seed_01","prev_0",5.85,"blue"
1,3.66910809623804,0.208412354183623,12.1110635608259,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",129,"seed_01","prev_0",1,"blue"
1,5.6200642996212,0.380255696502669,28.2241594483621,0.001,"INSHORE_OFFSHORE","pres/abs","indvalSpecies",34,"seed_01","prev_0",1.825,"blue"
1,3.01370512124603,0.245341099505863,9.75305927003121,0.001,"BAR_BAY","maxN","allSpecies",119,"seed_01","prev_0",1,"blue"
1,4.46751215161027,0.396846913839717,19.7386164281811,0.001,"BAR_BAY","maxN","indvalSpecies",17,"seed_01","prev_0",1.618,"blue"
1,2.36911883351888,0.202576733468665,7.62117467489413,0.001,"BAR_LAG","maxN","allSpecies",122,"seed_01","prev_0",1,"blue"
1,3.91324569520358,0.354198052839324,16.4538704658566,0.001,"BAR_LAG","maxN","indvalSpecies",19,"seed_01","prev_0",1.748,"blue"
1,1.06391259072321,0.102134139443911,3.4125634105518,0.001,"BAY_LAG","maxN","allSpecies",52,"seed_01","prev_0",1,"blue"
1,2.07959175065996,0.282644383137207,10.2442272546852,0.001,"BAY_LAG","maxN","indvalSpecies",5,"seed_01","prev_0",2.767,"blue"
1,3.64696485612281,0.208966879328813,12.1518002191479,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",129,"seed_01","prev_0",1,"blue"
1,5.18422792736076,0.346231102124865,24.3612547943289,0.001,"INSHORE_OFFSHORE","maxN","indvalSpecies",34,"seed_01","prev_0",1.657,"blue"
1,3.07511669550948,0.2527035210708,10.1447094237443,0.001,"BAR_BAY","pres/abs","allSpecies",119,"seed_01","prev_0",1,"blue"
1,0.228571428571429,0.16,0.952380952380953,0.503,"BAR_BAY","pres/abs","bininterSpecies",2,"seed_01","prev_0",0.457,"red"
1,2.52090317310022,0.212640702350996,8.10204577449935,0.001,"BAR_LAG","pres/abs","allSpecies",122,"seed_01","prev_0",1,"blue"
1,0.571428571428571,0.19047619047619,2.11764705882353,0.213,"BAR_LAG","pres/abs","bininterSpecies",4,"seed_01","prev_0",0.652,"red"
1,1.00109202442018,0.0987966207350505,3.28882324483622,0.001,"BAY_LAG","pres/abs","allSpecies",52,"seed_01","prev_0",1,"blue"
1,0.53738425925926,0.134093862815885,1.54859582416116,0.179,"BAY_LAG","pres/abs","bininterSpecies",6,"seed_01","prev_0",1.06,"red"
1,3.66910809623804,0.208412354183623,12.1110635608259,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",129,"seed_01","prev_0",1,"blue"
1,0.583333333333333,0.241379310344828,3.18181818181818,0.199,"INSHORE_OFFSHORE","pres/abs","bininterSpecies",3,"seed_01","prev_0",0.823,"red"
1,3.01370512124603,0.245341099505863,9.75305927003121,0.001,"BAR_BAY","maxN","allSpecies",119,"seed_01","prev_0",1,"blue"
1,0.345679012345679,0.123893805309735,0.98989898989899,0.443,"BAR_BAY","maxN","bininterSpecies",4,"seed_01","prev_0",0.398,"red"
1,2.36911883351888,0.202576733468665,7.62117467489413,0.001,"BAR_LAG","maxN","allSpecies",122,"seed_01","prev_0",1,"blue"
1,1.04487648940778,0.0785322098764465,2.38630356927144,0.001,"BAR_LAG","maxN","bininterSpecies",44,"seed_01","prev_0",0.327,"blue"
1,1.06391259072321,0.102134139443911,3.4125634105518,0.001,"BAY_LAG","maxN","allSpecies",52,"seed_01","prev_0",1,"blue"
1,0.0698412698412698,0.0745762711864407,0.402930402930403,1,"BAY_LAG","maxN","bininterSpecies",3,"seed_01","prev_0",0.602,"red"
1,3.64696485612281,0.208966879328813,12.1518002191479,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",129,"seed_01","prev_0",1,"blue"
1,0.574074074074074,0.236641221374046,3.1,0.199,"INSHORE_OFFSHORE","maxN","bininterSpecies",3,"seed_01","prev_0",0.921,"red"
1,3.07511669550948,0.2527035210708,10.1447094237443,0.001,"BAR_BAY","pres/abs","allSpecies",119,"seed_01","prev_0",0.722,"blue"
1,2.33589906249505,0.247560408284578,7.23822754972808,0.001,"BAR_BAY","pres/abs","terinterSpecies",25,"seed_01","prev_0",0.708,"blue"
1,2.52090317310022,0.212640702350996,8.10204577449935,0.001,"BAR_LAG","pres/abs","allSpecies",122,"seed_01","prev_0",0.727,"blue"
1,1.24652777777778,0.124321828465889,3.12338518323227,0.003,"BAR_LAG","pres/abs","terinterSpecies",15,"seed_01","prev_0",0.425,"red"
1,1.00109202442018,0.0987966207350505,3.28882324483622,0.001,"BAY_LAG","pres/abs","allSpecies",52,"seed_01","prev_0",0.781,"blue"
1,0.896441995779793,0.0846305924818769,2.77365373323998,0.001,"BAY_LAG","pres/abs","terinterSpecies",29,"seed_01","prev_0",0.669,"blue"
1,3.66910809623804,0.208412354183623,12.1110635608259,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",129,"seed_01","prev_0",0.711,"blue"
1,1.74758982811232,0.118285369276249,4.56122924045308,0.001,"INSHORE_OFFSHORE","pres/abs","terinterSpecies",22,"seed_01","prev_0",0.403,"blue"
1,3.01370512124603,0.245341099505863,9.75305927003121,0.001,"BAR_BAY","maxN","allSpecies",119,"seed_01","prev_0",0.788,"blue"
1,2.09943317859011,0.205966173603678,5.96602038276407,0.001,"BAR_BAY","maxN","terinterSpecies",26,"seed_01","prev_0",0.662,"blue"
1,2.36911883351888,0.202576733468665,7.62117467489413,0.001,"BAR_LAG","maxN","allSpecies",122,"seed_01","prev_0",0.842,"blue"
1,1.32231680836968,0.119688217371706,3.26306801022776,0.001,"BAR_LAG","maxN","terinterSpecies",24,"seed_01","prev_0",0.498,"blue"
1,1.06391259072321,0.102134139443911,3.4125634105518,0.001,"BAY_LAG","maxN","allSpecies",52,"seed_01","prev_0",0.825,"blue"
1,1.19886480723427,0.104961352465518,3.51810570709933,0.001,"BAY_LAG","maxN","terinterSpecies",29,"seed_01","prev_0",0.847,"blue"
1,3.64696485612281,0.208966879328813,12.1518002191479,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",129,"seed_01","prev_0",0.813,"blue"
1,2.12617241365296,0.119874632402412,6.12907962513692,0.001,"INSHORE_OFFSHORE","maxN","terinterSpecies",59,"seed_01","prev_0",0.466,"blue"
1,3.89237062640565,0.34990684281092,16.1472323900719,0.001,"BAR_BAY","pres/abs","allSpecies",31,"seed_01","prev_10",1.338,"blue"
1,5.17990998894224,0.491168463989425,28.9586098283352,0.001,"BAR_BAY","pres/abs","indvalSpecies",17,"seed_01","prev_10",1.878,"blue"
1,3.15526750005157,0.292324665249358,12.3923210642503,0.001,"BAR_LAG","pres/abs","allSpecies",35,"seed_01","prev_10",1.251,"blue"
1,4.59715747259712,0.441529087814928,23.7181066111788,0.001,"BAR_LAG","pres/abs","indvalSpecies",19,"seed_01","prev_10",1.889,"blue"
1,1.10330287568293,0.12645479469796,4.34281342043093,0.001,"BAY_LAG","pres/abs","allSpecies",17,"seed_01","prev_10",1.192,"blue"
1,4.29218253968254,0.577985230151011,31.5004621715733,0.001,"BAY_LAG","pres/abs","indvalSpecies",4,"seed_01","prev_10",5.448,"blue"
1,4.70617091814328,0.29326523307794,19.0880671971709,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",30,"seed_01","prev_10",1.457,"blue"
1,5.96674987472908,0.413432324131615,32.422323446138,0.001,"INSHORE_OFFSHORE","pres/abs","indvalSpecies",20,"seed_01","prev_10",2.054,"blue"
1,3.58340443028519,0.311339937270674,13.5628572406287,0.001,"BAR_BAY","maxN","allSpecies",31,"seed_01","prev_10",1.291,"blue"
