"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data","prev_rate","replica_comp"
"Atule mate",0.8,"BAY",1,40,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Chaetodon auriga",0.6,"BAR",1,30,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Chaetodon kleinii",0.5,"BAR",1,25,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Chromis viridis",0.5,"BAR",1,25,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Dascyllus aruanus",0.6,"BAR",1,30,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Halichoeres trimaculatus",0.81,"BAR",1,50,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",0.909,"BAY",1,55,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus obsoletus",0.7,"BAY",1,35,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus rubrioperculatus",0.9,"BAR",1,45,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus variegatus",0.6,"BAR",1,30,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",0.9,"BAY",1,45,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Oxycheilinus bimaculatus",0.9,"BAR",1,45,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Parapercis australis",0.9,"BAR",1,45,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Parupeneus barberinoides",0.7,"BAR",1,35,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Parupeneus multifasciatus",0.6,"BAR",1,30,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Parupeneus pleurostigma",0.9,"BAR",1,45,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Pentapodus nagasakiensis",0.7,"BAR",1,35,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Pomacentrus coelestis",0.6,"BAR",1,30,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Pseudobalistes fuscus",0.5,"BAR",1,25,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Scarus psittacus",0.5,"BAR",1,25,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Sufflamen chrysopterum",0.5,"BAR",1,25,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Synodus variegatus",0.5,"BAY",1,25,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Thalassoma lunare",0.9,"BAR",1,45,"BAR_BAY","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Chaetodon auriga",0.6,"BAR",1,30,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Chaetodon kleinii",0.5,"BAR",1,25,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Chromis viridis",0.5,"BAR",1,25,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Dascyllus aruanus",0.6,"BAR",1,30,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Decapterus macarellus",0.5,"LAG",1,25,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Halichoeres trimaculatus",0.9,"BAR",1,45,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",0.909,"LAG",1,55,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus rubrioperculatus",0.81,"BAR",1,50,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus variegatus",0.6,"BAR",1,30,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",0.8,"LAG",1,40,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Oxycheilinus bimaculatus",0.9,"BAR",1,45,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Parapercis australis",0.9,"BAR",1,45,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
