"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data","prev_rate","replica_comp"
"Lethrinus genivittatus",18.5,"BAY",1,55,"BAR_BAY","BestModel_bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",21,"BAY",1,45,"BAR_BAY","BestModel_bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Carangoides dinema",0,"BAY",1,5,"BAR_BAY","BestModel_bininter","maxN","prev_0","ABORE_vs_MBERE"
"Parupeneus pleurostigma",31.167,"BAR",1,45,"BAR_BAY","BestModel_bininter","maxN","prev_0","ABORE_vs_MBERE"
"Echeneis naucrates",-3,"BAY",1,35,"BAR_BAY","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Lethrinus obsoletus",15.5,"BAY",1,30,"BAR_BAY","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Nemipterus peronii",15.833,"BAY",1,40,"BAR_BAY","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Abalistes stellatus",0.75,"BAY",1,20,"BAR_BAY","BestModel_bininter","maxN","prev_0","MBERE_vs_ABORE"
"Lutjanus vitta",8.062,"BAY",1,10,"BAR_BAY","BestModel_bininter","maxN","prev_0","MBERE_vs_ABORE"
"Nemipterus peronii",21.272,"BAY",1,40,"BAR_BAY","BestModel_bininter","maxN","prev_0","MBERE_vs_ABORE"
"Atule mate",9.542,"BAY",1,40,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Lethrinus genivittatus",9.961,"BAY",1,55,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Nemipterus peronii",11,"BAY",1,45,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Abalistes stellatus",-0.375,"BAR",1,10,"BAR_BAY","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Atule mate",9.454,"BAY",1,40,"BAR_BAY","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Nemipterus peronii",29.801,"BAY",1,45,"BAR_BAY","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Abalistes stellatus",1.317,"BAY",1,20,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Atule mate",4.333,"BAY",1,20,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Epinephelus areolatus",7.549,"BAY",1,10,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Lethrinus obsoletus",19.651,"BAY",1,30,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Nemipterus peronii",15.416,"BAY",1,40,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Abalistes stellatus",1.066,"BAY",1,20,"BAR_BAY","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Diagramma pictum",3.172,"BAR",1,10,"BAR_BAY","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Lutjanus vitta",12.439,"BAY",1,10,"BAR_BAY","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Nemipterus peronii",21.746,"BAY",1,40,"BAR_BAY","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Chaetodon auriga",14.72,"BAR",1,30,"BAR_BAY","BestModel_terinter","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",28.508,"BAY",1,55,"BAR_BAY","BestModel_terinter","pres/abs","prev_0","ABORE_vs_MBERE"
"Chaetodon auriga",9.445,"BAR",1,30,"BAR_BAY","BestModel_terinter","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",33.746,"BAY",1,55,"BAR_BAY","BestModel_terinter","maxN","prev_0","ABORE_vs_MBERE"
"Acanthurus nigricauda",0.24,"BAR",1,5,"BAR_BAY","BestModel_terinter","pres/abs","prev_0","MBERE_vs_ABORE"
"Epinephelus areolatus",12.564,"BAY",1,10,"BAR_BAY","BestModel_terinter","pres/abs","prev_0","MBERE_vs_ABORE"
"Nemipterus peronii",31.032,"BAY",1,40,"BAR_BAY","BestModel_terinter","pres/abs","prev_0","MBERE_vs_ABORE"
"Acanthurus nigricauda",0,"BAR",1,5,"BAR_BAY","BestModel_terinter","maxN","prev_0","MBERE_vs_ABORE"
"Epinephelus areolatus",13.371,"BAY",1,10,"BAR_BAY","BestModel_terinter","maxN","prev_0","MBERE_vs_ABORE"
"Nemipterus peronii",31.121,"BAY",1,40,"BAR_BAY","BestModel_terinter","maxN","prev_0","MBERE_vs_ABORE"
"Chaetodon auriga",13.801,"BAR",1,30,"BAR_BAY","BestModel_terinter","pres/abs","prev_10","ABORE_vs_MBERE"
"Lethrinus genivittatus",27.973,"BAY",1,55,"BAR_BAY","BestModel_terinter","pres/abs","prev_10","ABORE_vs_MBERE"
"Chaetodon auriga",10.232,"BAR",1,30,"BAR_BAY","BestModel_terinter","maxN","prev_10","ABORE_vs_MBERE"
"Lethrinus genivittatus",28.756,"BAY",1,55,"BAR_BAY","BestModel_terinter","maxN","prev_10","ABORE_vs_MBERE"
"Amblygobius phalaena",9.969,"BAR",1,25,"BAR_BAY","BestModel_terinter","pres/abs","prev_10","MBERE_vs_ABORE"
"Epinephelus areolatus",6.679,"BAY",1,10,"BAR_BAY","BestModel_terinter","pres/abs","prev_10","MBERE_vs_ABORE"
"Nemipterus peronii",17.682,"BAY",1,40,"BAR_BAY","BestModel_terinter","pres/abs","prev_10","MBERE_vs_ABORE"
"Abalistes stellatus",0.16,"BAY",1,20,"BAR_BAY","BestModel_terinter","maxN","prev_10","MBERE_vs_ABORE"
"Lethrinus variegatus",29.199,"BAR",1,45,"BAR_BAY","BestModel_terinter","maxN","prev_10","MBERE_vs_ABORE"
"Parupeneus barberinoides",11.288,"BAR",1,35,"BAR_BAY","BestModel_terinter","maxN","prev_10","MBERE_vs_ABORE"
"Halichoeres trimaculatus",15,"BAR",1,45,"BAR_LAG","BestModel_bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus rubrioperculatus",15,"BAR",1,50,"BAR_LAG","BestModel_bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",18.054,"LAG",1,55,"BAR_LAG","BestModel_bininter","maxN","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",18.5,"LAG",1,40,"BAR_LAG","BestModel_bininter","maxN","prev_0","ABORE_vs_MBERE"
"Amblygobius sphynx",6.5,"LAG",1,10,"BAR_LAG","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Lethrinus genivittatus",2.3,"LAG",1,65,"BAR_LAG","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
